Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,318.5777777777778,318.5777777777778,0,0,.,x,x,.
A4,318.5777777777778,1752.177777777778,1433.6000000000001,1.0,3/4,x,1,1,0
C5,1752.177777777778,3367.822222222222,1615.6444444444442,1.0,3/4,x,1,1,0
E5,3367.822222222222,4892.444444444444,1524.6222222222223,1.0,3/4,x,1,1,0
F4,4892.444444444444,6917.688888888889,2025.2444444444445,1.0,3/4,x,1,2,0
0,6917.688888888889,6940.444444444444,22.755555555555475,0.25,3/4,.,1,2,0
E5,6940.444444444444,7236.266666666666,295.8222222222221,0.25,3/4,x,1,2,0
D5,7236.266666666666,7486.577777777778,250.31111111111113,0.25,3/4,x,1,2,0
C♯5,7486.577777777778,7941.688888888889,455.1111111111113,0.25,3/4,x,1,2,0
D5,7941.688888888889,8078.222222222223,136.53333333333376,0.25,3/4,x,1,2,0
F5,8078.222222222223,8487.822222222223,409.60000000000036,0.25,3/4,x,1,2,0
A5,8487.822222222223,8533.333333333334,45.51111111111095,0.25,3/4,x,1,2,0
D6,8533.333333333334,9147.733333333334,614.3999999999996,0.25,3/4,x,1,2,0
G4,9147.733333333334,10444.800000000001,1297.0666666666675,1.0,3/4,x,1,3,0
B4,10444.800000000001,11696.355555555556,1251.5555555555547,1.0,3/4,x,1,3,0
D5,11696.355555555556,13107.2,1410.844444444445,1.0,3/4,x,1,3,0
E4,13107.2,15132.444444444445,2025.2444444444445,1.0,3/4,x,1,4,0
0,15132.444444444445,15155.2,22.755555555555475,0.25,3/4,.,1,4,0
D5,15155.2,15519.288888888888,364.0888888888876,0.25,3/4,x,1,4,0
C5,15519.288888888888,15769.6,250.31111111111204,0.25,3/4,x,1,4,0
B4,15769.6,16065.422222222222,295.82222222222117,0.25,3/4,x,1,4,0
C5,16065.422222222222,16384.0,318.57777777777846,0.25,3/4,x,1,4,0
E5,16384.0,16679.82222222222,295.82222222222117,0.25,3/4,x,1,4,0
G5,16679.82222222222,16861.86666666667,182.04444444444744,0.25,3/4,x,1,4,0
C6,16861.86666666667,17385.244444444445,523.3777777777759,0.25,3/4,x,1,4,0
F4,17385.244444444445,18636.8,1251.5555555555547,1.0,3/4,x,1,5,0
A4,18636.8,19820.08888888889,1183.288888888892,1.0,3/4,x,1,5,0
C5,19820.08888888889,21208.17777777778,1388.0888888888876,1.0,3/4,x,1,5,0
D4,21208.17777777778,22323.2,1115.022222222222,0.25,3/4,x,1,6,0
C5,22323.2,22687.288888888892,364.08888888889123,0.25,3/4,x,1,6,0
B4,22687.288888888892,22937.6,250.31111111110658,0.25,3/4,x,1,6,0
A4,22937.6,23210.666666666668,273.06666666666933,0.25,3/4,x,1,6,0
C5,23210.666666666668,23779.555555555555,568.8888888888869,0.25,3/4,x,1,6,0
A4,23779.555555555555,23802.311111111114,22.755555555559113,0.25,3/4,x,1,6,0
G♯4,23802.311111111114,23916.08888888889,113.77777777777737,0.25,3/4,x,1,6,0
A4,23916.08888888889,24098.13333333333,182.04444444444016,0.25,3/4,x,1,6,0
G♯4,24098.13333333333,24484.977777777778,386.8444444444467,0.25,3/4,x,1,6,0
A4,24484.977777777778,24507.733333333334,22.755555555555475,0.25,3/4,x,1,6,0
G♯4,24507.733333333334,25645.51111111111,1137.7777777777774,0.25,3/4,x,1,6,0
A4,25645.51111111111,25668.266666666666,22.755555555555475,0.25,3/4,x,1,6,0
E4,25668.266666666666,26282.666666666668,614.4000000000015,0.25,3/4,x,1,7,0
A4,26282.666666666668,26328.17777777778,45.51111111111095,0.25,3/4,x,1,7,0
G♯4,26328.17777777778,27033.6,705.4222222222197,0.25,3/4,x,1,7,0
A4,27033.6,27079.11111111111,45.51111111111095,0.25,3/4,x,1,7,0
C5,27079.11111111111,27443.2,364.08888888889123,0.25,3/4,x,1,7,0
A4,27443.2,27465.955555555556,22.755555555555475,0.25,3/4,x,1,7,0
G♯4,27465.955555555556,28785.777777777777,1319.8222222222212,0.25,3/4,x,1,7,0
A4,28785.777777777777,28876.8,91.0222222222219,0.25,3/4,x,1,7,0
G♯4,28876.8,28899.555555555555,22.755555555555475,0.25,3/4,x,1,7,0
A4,28899.555555555555,28990.577777777777,91.0222222222219,0.25,3/4,x,1,7,0
G♯4,28990.577777777777,29081.600000000002,91.02222222222554,0.25,3/4,x,1,7,0
A4,29081.600000000002,29149.86666666667,68.26666666666642,0.25,3/4,x,1,7,0
F4,29149.86666666667,29650.488888888885,500.6222222222168,0.25,3/4,x,1,8,0
A4,29650.488888888885,29900.8,250.31111111111386,0.25,3/4,x,1,8,0
D5,29900.8,30151.11111111111,250.31111111111022,0.25,3/4,x,1,8,0
F4,30151.11111111111,30355.911111111112,204.8000000000029,0.25,3/4,x,1,8,0
A4,30355.911111111112,30651.733333333334,295.82222222222117,0.25,3/4,x,1,8,0
D5,30651.733333333334,30811.022222222222,159.28888888888832,0.25,3/4,x,1,8,0
F5,30811.022222222222,30993.066666666666,182.0444444444438,0.25,3/4,x,1,8,0
A4,30993.066666666666,31197.866666666665,204.79999999999927,0.25,3/4,x,1,8,0
D5,31197.866666666665,31425.422222222223,227.55555555555839,0.25,3/4,x,1,8,0
F5,31425.422222222223,31516.444444444445,91.0222222222219,0.25,3/4,x,1,8,0
A5,31516.444444444445,31721.244444444445,204.79999999999927,0.25,3/4,x,1,8,0
D5,31721.244444444445,31948.8,227.55555555555475,0.25,3/4,x,1,8,0
F5,31948.8,32130.844444444443,182.0444444444438,0.25,3/4,x,1,9,0
A5,32130.844444444443,32290.13333333333,159.28888888888832,0.25,3/4,x,1,9,0
D6,32290.13333333333,32745.244444444445,455.11111111111313,0.25,3/4,x,1,9,0
F5,32745.244444444445,32768.0,22.755555555555475,0.25,3/4,x,1,9,0
A5,32768.0,32881.77777777778,113.77777777778101,0.25,3/4,x,1,9,0
D5,32881.77777777778,33063.82222222222,182.04444444443652,0.25,3/4,x,1,9,0
F5,33063.82222222222,33291.37777777777,227.55555555555475,0.25,3/4,x,1,9,0
A4,33291.37777777777,33609.955555555556,318.5777777777839,0.25,3/4,x,1,9,0
D5,33609.955555555556,35157.333333333336,1547.3777777777796,1.0,3/4,x,1,9,0
0,35157.333333333336,36090.311111111114,932.9777777777781,0.5,3/4,.,1,10,0
D4,36090.311111111114,37068.8,978.488888888889,0.5,3/4,x,1,10,0
A4,37068.8,39981.51111111111,2912.711111111108,1.5,3/4,x,1,10,0
G♯4,39981.51111111111,40322.84444444444,341.3333333333285,0.25,3/4,x,1,10,0
A4,40322.84444444444,40368.35555555555,45.51111111111095,0.25,3/4,x,1,10,0
G♯4,40368.35555555555,41096.53333333333,728.1777777777825,0.25,3/4,x,1,11,0
D♯5,41096.53333333333,41574.399999999994,477.86666666666133,0.25,3/4,x,1,11,0
E5,41574.399999999994,41642.666666666664,68.26666666667006,0.25,3/4,x,1,11,0
B4,41642.666666666664,41915.73333333334,273.066666666673,0.25,3/4,x,1,11,0
G♯4,41915.73333333334,42348.08888888889,432.3555555555504,0.25,3/4,x,1,11,0
A4,42348.08888888889,42370.84444444445,22.755555555559113,0.25,3/4,x,1,11,0
B4,42370.84444444445,42643.91111111111,273.0666666666657,0.25,3/4,x,1,11,0
G♯4,42643.91111111111,43121.77777777778,477.8666666666686,0.25,3/4,x,1,11,0
E4,43121.77777777778,44964.97777777778,1843.199999999997,1.0,3/4,x,1,11,0
0,44964.97777777778,46830.933333333334,1865.9555555555562,0,0,.,x,x,.
0,46830.933333333334,46853.688888888886,22.755555555551837,0.5,3/4,.,2,12,0
C5,46853.688888888886,47012.97777777778,159.28888888889196,0.25,3/4,S,2,12,0
D5,47012.97777777778,47104.0,91.0222222222219,0.25,3/4,S,2,12,0
E5,47104.0,47331.555555555555,227.55555555555475,0.5,3/4,S,2,12,0
G♯4,47331.555555555555,47536.35555555555,204.79999999999563,0.5,3/4,B,2,12,0
A4,47536.35555555555,47786.66666666667,250.31111111112114,0.5,3/4,B,2,12,0
F5,47786.66666666667,48036.97777777778,250.31111111110658,0.5,3/4,S,2,12,0
G♯4,48036.97777777778,48264.53333333333,227.55555555555475,0.5,3/4,b,2,13,0
F5,48264.53333333333,48514.84444444444,250.31111111110658,0.5,3/4,S,2,13,0
E5,48514.84444444444,48696.88888888888,182.0444444444438,0.5,3/4,S,2,13,0
F♯4,48696.88888888888,48924.444444444445,227.55555555556202,0.5,3/4,b,2,13,0
G4,48924.444444444445,49152.0,227.55555555555475,0.5,3/4,b,2,13,0
E5,49152.0,49379.555555555555,227.55555555555475,0.5,3/4,S,2,13,0
F♯4,49379.555555555555,49789.15555555555,409.59999999999854,0.5,3/4,b,2,14,0
E5,49789.15555555555,49880.177777777775,91.0222222222219,0.5,3/4,S,2,14,0
D5,49880.177777777775,50062.222222222226,182.04444444445107,0.5,3/4,S,2,14,0
