Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1865.9555555555555,1865.9555555555555,0,0,.,x,x,.
F5,1865.9555555555555,2434.8444444444444,568.8888888888889,0.375,4/4,x,1,1,0
B♭4,2434.8444444444444,2639.6444444444446,204.80000000000018,0.125,4/4,x,1,1,0
G5,2639.6444444444446,4232.533333333334,1592.8888888888891,0.5,4/4,S,1,2,0
G5,4232.533333333334,4255.288888888889,22.755555555555475,0.5,4/4,S,1,2,0
E♭4,4255.288888888889,5074.488888888889,819.1999999999998,0.5,4/4,b,1,2,0
G5,5074.488888888889,6917.688888888889,1843.1999999999998,0.5,4/4,S,1,2,0
G5,6917.688888888889,6940.444444444444,22.755555555555475,0.375,4/4,S,1,2,0
E♭5,6940.444444444444,6963.2,22.755555555555475,0.125,4/4,x,1,2,0
F5,6963.2,8374.044444444446,1410.8444444444458,0.5,4/4,S,1,2,0
0,8374.044444444446,8419.555555555557,45.51111111111095,0.5,4/4,.,1,2,0
D5,8419.555555555557,8988.444444444445,568.8888888888887,0.375,4/4,x,1,2,0
B♭4,8988.444444444445,9170.488888888889,182.0444444444438,0.125,4/4,x,1,2,0
E♭5,9170.488888888889,10695.11111111111,1524.6222222222204,0.5,4/4,S,1,3,0
E♭5,10695.11111111111,10717.866666666667,22.755555555557294,0.5,4/4,S,1,3,0
F4,10717.866666666667,11650.844444444445,932.9777777777781,0.5,4/4,b,1,3,0
E♭5,11650.844444444445,13243.733333333334,1592.8888888888887,0.5,4/4,S,1,3,0
E♭5,13243.733333333334,13266.488888888889,22.755555555555475,0.375,4/4,S,1,3,0
C5,13266.488888888889,13471.288888888888,204.79999999999927,0.125,4/4,x,1,3,0
D5,13471.288888888888,14631.822222222223,1160.5333333333347,0.5,4/4,S,1,3,0
0,14631.822222222223,14995.91111111111,364.0888888888876,0.5,4/4,.,1,3,0
D5,14995.91111111111,15792.355555555556,796.4444444444453,0.375,4/4,S,1,3,0
E♭5,15792.355555555556,15860.622222222222,68.26666666666642,0.125,4/4,S,1,3,0
F♯4,15860.622222222222,16679.82222222222,819.1999999999989,0.5,4/4,b,1,4,0
A5,16679.82222222222,17453.51111111111,773.6888888888898,0.5,4/4,S,1,4,0
D4,17453.51111111111,18022.4,568.8888888888905,0.25,4/4,b,1,4,0
E♭5,18022.4,18386.48888888889,364.0888888888876,0.25,4/4,x,1,4,0
D5,18386.48888888889,18727.82222222222,341.3333333333321,0.25,4/4,x,1,4,0
C5,18727.82222222222,19160.17777777778,432.35555555555766,0.25,4/4,x,1,4,0
B♭4,19160.17777777778,19547.022222222222,386.84444444444307,0.25,4/4,x,1,4,0
G4,19547.022222222222,19888.355555555558,341.33333333333576,0.25,4/4,x,1,4,0
A4,19888.355555555558,20252.44444444444,364.08888888888396,0.25,4/4,x,1,4,0
F♯4,20252.44444444444,20707.555555555555,455.11111111111313,0.25,4/4,x,1,4,0
G4,20707.555555555555,21777.066666666666,1069.511111111111,0.5,4/4,x,1,4,0
G5,21777.066666666666,22368.71111111111,591.644444444446,0.375,4/4,x,1,4,0
B♭5,22368.71111111111,22596.266666666666,227.55555555555475,0.125,4/4,x,1,4,0
C♯5,22596.266666666666,23438.222222222223,841.9555555555562,0.5,4/4,B,1,5,0
E6,23438.222222222223,24439.466666666667,1001.2444444444445,0.5,4/4,S,1,5,0
A4,24439.466666666667,24758.044444444444,318.57777777777665,0.25,4/4,b,1,5,0
B♭5,24758.044444444444,25213.155555555557,455.11111111111313,0.25,4/4,x,1,5,0
A5,25213.155555555557,25827.555555555555,614.3999999999978,0.25,4/4,x,1,5,0
G5,25827.555555555555,26259.911111111112,432.35555555555766,0.25,4/4,x,1,5,0
F5,26259.911111111112,26282.666666666668,22.755555555555475,0.25,4/4,x,1,5,0
D5,26282.666666666668,26624.0,341.3333333333321,0.25,4/4,x,1,5,0
E5,26624.0,26942.577777777777,318.57777777777665,0.25,4/4,x,1,5,0
C♯5,26942.577777777777,27374.933333333334,432.35555555555766,0.25,4/4,x,1,5,0
D5,27374.933333333334,27943.822222222225,568.8888888888905,0.25,4/4,x,1,5,0
B4,27943.822222222225,28239.644444444442,295.82222222221753,0.25,4/4,x,1,5,0
