Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1115.0222222222221,1115.0222222222221,0,0,.,x,x,.
A4,1115.0222222222221,2434.8444444444444,1319.8222222222223,1.25,4/4,x,1,1,0
B4,2434.8444444444444,2753.4222222222224,318.577777777778,0.25,4/4,x,1,1,0
A4,2753.4222222222224,2958.222222222222,204.79999999999973,0.25,4/4,x,1,1,0
E4,2958.222222222222,3140.266666666667,182.0444444444447,0.25,4/4,x,1,1,0
A4,3140.266666666667,3345.066666666667,204.80000000000018,0.25,4/4,x,1,1,0
C♯5,3345.066666666667,3504.355555555556,159.28888888888878,0.25,4/4,x,1,1,0
A4,3504.355555555556,3663.6444444444446,159.28888888888878,0.25,4/4,x,1,1,0
E4,3663.6444444444446,3800.177777777778,136.5333333333333,0.25,4/4,x,1,1,0
A4,3800.177777777778,3982.222222222222,182.04444444444425,0.25,4/4,x,1,1,0
B4,3982.222222222222,4118.7555555555555,136.5333333333333,0.25,4/4,x,1,1,0
A4,4118.7555555555555,4232.533333333334,113.77777777777828,0.25,4/4,x,1,1,0
E4,4232.533333333334,4369.066666666667,136.53333333333285,0.25,4/4,x,1,1,0
A4,4369.066666666667,4482.844444444445,113.77777777777828,0.25,4/4,x,1,2,0
C♯5,4482.844444444445,4596.622222222222,113.77777777777737,0.25,4/4,x,1,2,0
A4,4596.622222222222,4710.4,113.77777777777737,0.25,4/4,x,1,2,0
E4,4710.4,4824.177777777778,113.77777777777828,0.25,4/4,x,1,2,0
A4,4824.177777777778,4960.711111111112,136.53333333333376,0.25,4/4,x,1,2,0
E5,4960.711111111112,5097.2444444444445,136.53333333333285,0.25,4/4,x,1,2,0
A4,5097.2444444444445,5188.266666666666,91.0222222222219,0.25,4/4,x,1,2,0
E4,5188.266666666666,5302.044444444445,113.77777777777828,0.25,4/4,x,1,2,0
A4,5302.044444444445,5575.111111111111,273.0666666666666,0.25,4/4,x,1,2,0
E5,5575.111111111111,5734.4,159.28888888888832,0.25,4/4,x,1,2,0
F♯5,5734.4,5893.688888888889,159.28888888888923,0.25,4/4,x,1,2,0
D5,5893.688888888889,6030.222222222222,136.53333333333285,0.25,4/4,x,1,2,0
E5,6030.222222222222,6075.733333333333,45.51111111111095,0.25,4/4,x,1,2,0
C♯5,6075.733333333333,6121.2444444444445,45.51111111111186,0.25,4/4,x,1,2,0
D5,6121.2444444444445,6303.288888888889,182.0444444444447,0.25,4/4,x,1,2,0
B4,6303.288888888889,6439.822222222222,136.53333333333285,0.25,4/4,x,1,2,0
C♯5,6439.822222222222,6690.133333333334,250.31111111111204,0.25,4/4,x,1,3,0
E5,6690.133333333334,6826.666666666667,136.53333333333285,0.25,4/4,x,1,3,0
F♯5,6826.666666666667,6940.444444444444,113.77777777777737,0.25,4/4,x,1,3,0
D5,6940.444444444444,7076.977777777777,136.53333333333285,0.25,4/4,x,1,3,0
E5,7076.977777777777,7168.0,91.02222222222281,0.25,4/4,x,1,3,0
C♯5,7168.0,7236.266666666666,68.26666666666642,0.25,4/4,x,1,3,0
