Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,15155.2,15155.2,0,0,.,x,x,.
G4,15155.2,16975.644444444446,1820.4444444444453,2.0,3/2,x,1,1,0
E♭5,16975.644444444446,17385.244444444445,409.59999999999854,0.5,3/2,x,1,1,0
D5,17385.244444444445,17931.37777777778,546.133333333335,1.5,3/2,x,1,1,0
C5,17931.37777777778,18181.68888888889,250.31111111111022,0.5,3/2,x,1,1,0
B♭4,18181.68888888889,18887.11111111111,705.4222222222197,1.5,3/2,x,1,1,0
A4,18887.11111111111,19933.86666666667,1046.755555555559,0.0,3/2,x,1,2,0
G4,19933.86666666667,22436.977777777778,2503.1111111111095,4.0,3/2,x,1,2,0
0,22436.977777777778,23074.13333333333,637.1555555555533,2.0,3/2,.,1,2,0
F♯4,23074.13333333333,24962.844444444447,1888.7111111111153,2.0,3/2,x,1,3,0
D5,24962.844444444447,25304.17777777778,341.3333333333321,0.5,3/2,x,1,3,0
C5,25304.17777777778,26009.6,705.4222222222197,1.5,3/2,x,1,3,0
B♭4,26009.6,26282.666666666668,273.06666666666933,0.5,3/2,x,1,3,0
A4,26282.666666666668,27397.68888888889,1115.022222222222,1.5,3/2,x,1,3,0
D4,27397.68888888889,29513.955555555556,2116.2666666666664,4.0,3/2,x,1,4,0
0,29513.955555555556,31175.11111111111,1661.1555555555533,2.0,3/2,.,1,4,0
0,31175.11111111111,31197.866666666665,22.755555555555475,0,0,.,x,x,.
G5,31197.866666666665,31766.755555555555,568.8888888888905,0.5,3/4,x,2,5,0
D5,31766.755555555555,32290.13333333333,523.3777777777759,0.5,3/4,x,2,5,0
D5,32290.13333333333,32312.88888888889,22.755555555559113,0.5,3/4,x,2,5,0
D5,32312.88888888889,32335.644444444446,22.755555555555475,0.5,3/4,x,2,5,0
D5,32335.644444444446,32358.4,22.755555555555475,0.25,3/4,x,2,5,0
E♭5,32358.4,32472.17777777778,113.77777777777737,0.25,3/4,x,2,5,0
C5,32472.17777777778,32608.71111111111,136.53333333333285,0.25,3/4,x,2,5,0
D5,32608.71111111111,32722.48888888889,113.77777777777737,0.25,3/4,x,2,5,0
E♭5,32722.48888888889,32927.28888888889,204.8000000000029,0.5,3/4,x,2,6,0
C5,32927.28888888889,33769.24444444445,841.9555555555562,0.5,3/4,x,2,6,0
C5,33769.24444444445,33792.0,22.755555555551837,0.5,3/4,x,2,6,0
C5,33792.0,33814.75555555556,22.755555555559113,0.5,3/4,x,2,6,0
C5,33814.75555555556,33837.51111111111,22.755555555551837,0.25,3/4,x,2,6,0
D5,33837.51111111111,33905.77777777778,68.26666666667006,0.25,3/4,x,2,6,0
E♭5,33905.77777777778,33996.8,91.0222222222219,0.25,3/4,x,2,6,0
C5,33996.8,34156.08888888889,159.28888888888469,0.25,3/4,x,2,6,0
D5,34156.08888888889,34429.15555555555,273.0666666666657,0.5,3/4,x,2,7,0
D4,34429.15555555555,34656.711111111115,227.55555555556202,0.5,3/4,x,2,7,0
C5,34656.711111111115,34929.77777777778,273.0666666666657,0.5,3/4,x,2,7,0
D4,34929.77777777778,35180.08888888889,250.31111111110658,0.5,3/4,x,2,7,0
