Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1524.6222222222223,1524.6222222222223,0,0,.,x,x,.
B4,1524.6222222222223,2093.5111111111114,568.8888888888891,0.25,4/4,x,1,1,0
D5,2093.5111111111114,2503.111111111111,409.59999999999945,0.25,4/4,x,1,1,0
F♯5,2503.111111111111,4869.688888888889,2366.577777777778,1.5,4/4,x,1,1,0
A4,4869.688888888889,5484.0888888888885,614.3999999999996,0.25,4/4,x,1,1,0
C♯5,5484.0888888888885,5984.711111111112,500.6222222222232,0.25,4/4,x,1,1,0
F♯5,5984.711111111112,8601.6,2616.8888888888887,1.5,4/4,x,1,1,0
G4,8601.6,9056.711111111112,455.1111111111113,0.25,4/4,x,1,2,0
B4,9056.711111111112,9489.066666666666,432.355555555554,0.25,4/4,x,1,2,0
E5,9489.066666666666,10877.155555555555,1388.0888888888894,1.0,4/4,x,1,2,0
E♯5,10877.155555555555,11355.022222222222,477.8666666666668,0.25,4/4,x,1,2,0
F♯5,11355.022222222222,11969.422222222223,614.4000000000015,0.25,4/4,x,1,2,0
F♯4,11969.422222222223,13630.577777777777,1661.1555555555533,1.0,4/4,x,1,2,0
0,13630.577777777777,15451.022222222224,1820.444444444447,1.0,4/4,.,1,2,0
0,15451.022222222224,15473.77777777778,22.755555555555475,0,0,.,x,x,.
0,15473.77777777778,15496.533333333333,22.755555555553656,0.25,4/4,.,2,3,0
D5,15496.533333333333,15587.555555555555,91.0222222222219,0.125,4/4,S,2,3,0
C♯5,15587.555555555555,15678.577777777777,91.0222222222219,0.125,4/4,x,2,3,0
D5,15678.577777777777,15883.377777777778,204.8000000000011,0.25,4/4,S,2,3,0
B4,15883.377777777778,16133.688888888888,250.31111111111022,0.25,4/4,B,2,3,0
G5,16133.688888888888,16361.244444444445,227.55555555555657,0.25,4/4,S,2,3,0
B4,16361.244444444445,16543.28888888889,182.0444444444438,0.25,4/4,B,2,3,0
C♯5,16543.28888888889,16702.577777777777,159.28888888888832,0.25,4/4,B,2,3,0
G5,16702.577777777777,16975.644444444446,273.06666666666933,0.25,4/4,S,2,3,0
D5,16975.644444444446,17271.466666666664,295.82222222221753,0.25,4/4,B,2,3,0
F♯5,17271.466666666664,17316.977777777774,45.51111111111095,0.125,4/4,S,2,3,0
E5,17316.977777777774,17408.0,91.02222222222554,0.125,4/4,x,2,3,0
F♯5,17408.0,17521.777777777777,113.77777777777737,0.25,4/4,S,2,3,0
D5,17521.777777777777,17885.866666666665,364.0888888888876,0.25,4/4,B,2,3,0
A5,17885.866666666665,18067.911111111112,182.04444444444744,0.25,4/4,S,2,3,0
C♯5,18067.911111111112,18227.2,159.28888888888832,0.25,4/4,B,2,3,0
D♯5,18227.2,18432.0,204.79999999999927,0.25,4/4,B,2,3,0
A5,18432.0,18659.555555555555,227.55555555555475,0.25,4/4,S,2,3,0
E5,18659.555555555555,18955.377777777776,295.82222222222117,0.25,4/4,B,2,4,0
G5,18955.377777777776,19000.888888888887,45.51111111111095,0.125,4/4,S,2,4,0
F♯5,19000.888888888887,19091.911111111112,91.02222222222554,0.125,4/4,x,2,4,0
G5,19091.911111111112,19319.466666666667,227.55555555555475,0.25,4/4,S,2,4,0
E5,19319.466666666667,19569.777777777777,250.31111111111022,0.25,4/4,B,2,4,0
A♯5,19569.777777777777,19820.08888888889,250.31111111111386,0.25,4/4,S,2,4,0
F♯5,19820.08888888889,20047.644444444442,227.5555555555511,0.25,4/4,B,2,4,0
C♯6,20047.644444444442,20320.71111111111,273.06666666666933,0.25,4/4,S,2,4,0
E5,20320.71111111111,20548.266666666666,227.55555555555475,0.25,4/4,B,2,4,0
D5,20548.266666666666,20798.577777777777,250.31111111111022,0.25,4/4,B,2,4,0
F♯5,20798.577777777777,20980.622222222224,182.04444444444744,0.25,4/4,S,2,4,0
B5,20980.622222222224,21162.666666666668,182.0444444444438,0.25,4/4,S,2,4,0
D5,21162.666666666668,21481.244444444445,318.57777777777665,0.25,4/4,B,2,4,0
E5,21481.244444444445,21640.533333333333,159.28888888888832,0.25,4/4,B,2,4,0
C♯6,21640.533333333333,21845.333333333332,204.79999999999927,0.25,4/4,S,2,4,0
F♯5,21845.333333333332,22050.133333333335,204.8000000000029,0.25,4/4,B,2,4,0
A♯5,22050.133333333335,22345.955555555556,295.82222222222117,0.25,4/4,S,2,4,0
B4,22345.955555555556,22619.022222222226,273.06666666666933,0.25,4/4,B,2,5,0
C♯5,22619.022222222226,22823.82222222222,204.79999999999563,0.25,4/4,x,2,5,0
D5,22823.82222222222,23051.377777777776,227.55555555555475,0.25,4/4,S,2,5,0
A4,23051.377777777776,23210.666666666668,159.28888888889196,0.25,4/4,B,2,5,0
G♯4,23210.666666666668,23460.977777777778,250.31111111111022,0.25,4/4,B,2,5,0
D5,23460.977777777778,23688.533333333333,227.55555555555475,0.25,4/4,S,2,5,0
F♯4,23688.533333333333,23870.57777777778,182.04444444444744,0.25,4/4,B,2,5,0
D5,23870.57777777778,24098.13333333333,227.5555555555511,0.25,4/4,S,2,5,0
E♯4,24098.13333333333,24393.955555555556,295.8222222222248,0.25,4/4,B,2,5,0
C♯5,24393.955555555556,24598.755555555555,204.79999999999927,0.25,4/4,S,2,5,0
B♯4,24598.755555555555,24758.044444444444,159.28888888888832,0.25,4/4,x,2,5,0
