Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,546.1333333333333,546.1333333333333,0,0,.,x,x,.
B4,546.1333333333333,864.7111111111111,318.5777777777778,0.25,4/4,x,1,1,0
D5,864.7111111111111,1092.2666666666667,227.55555555555554,0.25,4/4,x,1,1,0
F♯5,1092.2666666666667,3185.7777777777774,2093.511111111111,1.5,4/4,x,1,1,0
A4,3185.7777777777774,3504.355555555556,318.57777777777846,0.25,4/4,x,1,1,0
C♯5,3504.355555555556,3777.422222222222,273.06666666666615,0.25,4/4,x,1,1,0
F♯5,3777.422222222222,5597.866666666667,1820.4444444444448,1.5,4/4,x,1,1,0
G4,5597.866666666667,5939.2,341.33333333333303,0.25,4/4,x,1,2,0
B4,5939.2,6257.777777777778,318.57777777777846,0.25,4/4,x,1,2,0
E5,6257.777777777778,7554.844444444444,1297.0666666666657,1.0,4/4,x,1,2,0
E♯5,7554.844444444444,7941.688888888889,386.8444444444449,0.25,4/4,x,1,2,0
F♯5,7941.688888888889,8533.333333333334,591.6444444444451,0.25,4/4,x,1,2,0
F♯4,8533.333333333334,10695.11111111111,2161.7777777777756,1.0,4/4,x,1,2,0
0,10695.11111111111,11537.066666666666,841.9555555555562,1.0,4/4,.,1,2,0
0,11537.066666666666,11559.822222222221,22.755555555555475,0,0,.,x,x,.
0,11559.822222222221,11582.577777777777,22.755555555555475,0.25,4/4,.,2,3,0
D5,11582.577777777777,11650.844444444445,68.26666666666824,0.125,4/4,S,2,3,0
C♯5,11650.844444444445,11719.111111111111,68.26666666666642,0.125,4/4,x,2,3,0
D5,11719.111111111111,11969.422222222223,250.31111111111204,0.25,4/4,S,2,3,0
B4,11969.422222222223,12174.22222222222,204.79999999999745,0.25,4/4,B,2,3,0
G5,12174.22222222222,12379.022222222222,204.8000000000011,0.25,4/4,S,2,3,0
B4,12379.022222222222,12765.866666666665,386.84444444444307,0.25,4/4,B,2,3,0
C♯5,12765.866666666665,12811.377777777778,45.51111111111277,0.25,4/4,B,2,3,0
G5,12811.377777777778,13016.177777777777,204.79999999999927,0.25,4/4,S,2,3,0
D5,13016.177777777777,13198.222222222223,182.04444444444562,0.25,4/4,B,2,3,0
F♯5,13198.222222222223,13266.488888888889,68.26666666666642,0.125,4/4,S,2,3,0
E5,13266.488888888889,13357.511111111111,91.0222222222219,0.125,4/4,x,2,3,0
F♯5,13357.511111111111,13539.555555555555,182.0444444444438,0.25,4/4,S,2,3,0
D5,13539.555555555555,13767.111111111111,227.55555555555657,0.25,4/4,B,2,3,0
A5,13767.111111111111,13971.911111111112,204.8000000000011,0.25,4/4,S,2,3,0
C♯5,13971.911111111112,14153.955555555554,182.04444444444198,0.25,4/4,B,2,3,0
D♯5,14153.955555555554,14336.0,182.04444444444562,0.25,4/4,B,2,3,0
A5,14336.0,14563.555555555557,227.55555555555657,0.25,4/4,S,2,3,0
E5,14563.555555555557,14768.355555555556,204.79999999999927,0.25,4/4,B,2,4,0
G5,14768.355555555556,15041.422222222222,273.0666666666657,0.125,4/4,S,2,4,0
F♯5,15041.422222222222,15109.688888888888,68.26666666666642,0.125,4/4,x,2,4,0
G5,15109.688888888888,15155.2,45.51111111111277,0.25,4/4,S,2,4,0
E5,15155.2,15360.0,204.79999999999927,0.25,4/4,B,2,4,0
A♯5,15360.0,15496.533333333333,136.53333333333285,0.25,4/4,S,2,4,0
F♯5,15496.533333333333,15701.333333333332,204.79999999999927,0.25,4/4,B,2,4,0
C♯6,15701.333333333332,15906.133333333333,204.8000000000011,0.25,4/4,S,2,4,0
E5,15906.133333333333,16088.177777777777,182.0444444444438,0.25,4/4,B,2,4,0
D5,16088.177777777777,16292.977777777778,204.8000000000011,0.25,4/4,B,2,4,0
F♯5,16292.977777777778,16475.022222222222,182.0444444444438,0.25,4/4,S,2,4,0
B5,16475.022222222222,16657.066666666666,182.0444444444438,0.25,4/4,S,2,4,0
D5,16657.066666666666,16839.111111111113,182.04444444444744,0.25,4/4,B,2,4,0
E5,16839.111111111113,17021.155555555557,182.0444444444438,0.25,4/4,B,2,4,0
C♯6,17021.155555555557,17225.955555555553,204.79999999999563,0.25,4/4,S,2,4,0
F♯5,17225.955555555553,17430.755555555555,204.8000000000029,0.25,4/4,B,2,4,0
A♯5,17430.755555555555,17635.555555555555,204.79999999999927,0.25,4/4,S,2,4,0
B4,17635.555555555555,17840.355555555554,204.79999999999927,0.25,4/4,B,2,5,0
C♯5,17840.355555555554,17999.644444444446,159.28888888889196,0.25,4/4,x,2,5,0
D5,17999.644444444446,18181.68888888889,182.0444444444438,0.25,4/4,S,2,5,0
A4,18181.68888888889,18386.48888888889,204.79999999999927,0.25,4/4,B,2,5,0
G♯4,18386.48888888889,18568.533333333333,182.0444444444438,0.25,4/4,B,2,5,0
D5,18568.533333333333,18750.577777777777,182.0444444444438,0.25,4/4,S,2,5,0
F♯4,18750.577777777777,18932.62222222222,182.0444444444438,0.25,4/4,B,2,5,0
D5,18932.62222222222,19137.422222222223,204.8000000000029,0.25,4/4,S,2,5,0
E♯4,19137.422222222223,19364.977777777778,227.55555555555475,0.25,4/4,B,2,5,0
C♯5,19364.977777777778,19569.777777777777,204.79999999999927,0.25,4/4,S,2,5,0
B♯4,19569.777777777777,19774.57777777778,204.8000000000029,0.25,4/4,x,2,5,0
C♯5,19774.57777777778,19933.86666666667,159.28888888888832,0.25,4/4,S,2,5,0
G♯5,19933.86666666667,20184.177777777775,250.31111111110658,0.25,4/4,S,2,5,0
C♯5,20184.177777777775,20366.222222222223,182.04444444444744,0.25,4/4,B,2,5,0
B5,20366.222222222223,20730.31111111111,364.0888888888876,0.25,4/4,S,2,5,0
C♯5,20730.31111111111,20753.066666666666,22.755555555555475,0.25,4/4,B,2,5,0
